Sobrenomes
Abaine
Abaurre
Abbud
Abecassis
Aboudib
Abraão
Abreu
Acátolli
Aggrizzi
Agnoi
Agrisi
Agrizi
Agrizzi
Aguiar
Aiette
Airoso
Akechi
Alázia
Alba
Albani
Albergaria
Alberico
Albernas
Albernaz
Alberto
Albino
Albuquerque
Alcantra
Alencar
Alenquer
Alexandre
Alexandreli
Alfarenga
Almada
Almeida
Almeyda
Altoe
Altoé
Alvarenga
Álvares
Alvernaz
Alves
Alvez
Amaral
Amato
Ambrosini
Ambrosio
Ambrozim
Ambrozin
Ambrozina
Amélia
Amigo
Amim
Amorim
Amparo
Anchesqui
Andersdatter
Andersen
Andrade
Andrades
Andreão
Andreasdatter
Andrião
Angeli
Angelo
Anna
Antonia
Antoniazzi
Antônio
Antunes
Apolinário
Apolonio
Apple
Appolinario
Arajuo
Araújo
Ardizzon
Arduíni
Armani
Armellin
Arpini
Arrivabene
Arruda
Assis
Assú
Assumpção
Assunção
Augustinho
Augusto
Augustsdatter
Augustsen
Avelar
Aveleda
Avila
Ayrosa
Azebedo
Azedias
Azeredo
Azevedo
Baceti
Bachetti
Badaró
Badr
Baiense
Balança
Balarini
Baldo
Baldotto
Balestre
Baliana
Ballarini
Balliana
Bandeira
Baptista
Baquete
Barazzuol
Barbato
Barbosa
Barboza
Barcellos
Barcelos
Barnabe
Barnett
Baro
Barone
Barrazuol
Barrazzuol
Barreira
Barrel
Barreto
Barros
Barroso
Basei
Basoni
Bassan
Bassani
Bassetti
Basso
Bassos
Bassul
Bastianelli
Bastos
Batista
Battaglia
Battagnoli
Battistela
Battistella
Battisti
Bazoni
Bedard
Bedore
Belcavello
Belinato
Bellè
Bellini
Bellon
Belmock
Beltrame
Beltran
Belz
Bena
Benedetti
Benevenutte
Benevides
Benica
Beraldo
Berard
Berg
Bergami
Berger
Bernabé
Bernadini
Bernadot
Bernardes
Bernardi
Bernardini
Bernardo
Berta
Berthelsen
Bertolosso
Bertone
Bertonsin
Berude
Bet
Betine
Betini
Betta
Bettin
Bezerra
Bianche
Bianco
Biase
Biasi
Biazate
Bicalho
Bicudo
Bindaco
Binelle
Bispo
Bissoli
Bistafa
Bitelli
Bitencourt
Bjerke
Blanco
Boarin
Boge
Boiago
Boizam
Boldrin
Boldrine
Boldrini
Bolzan
Bonadiman
Bonfim
Boni
Bonicenha
Bonilha
Bonot
Bordin
Borges
Borghi
Borsoi
Bortolini
Bortolot
Bortoloth
Bortoloti
Bortolotti
Boscarato
Bosio
Bossoli
Botacim
Botacin
Botelho
Bottega
Botteon
Botti
Bourguignon
Bozi
Bozzi
Bozzoli
Braceschi
Braga
Bragagnolo
Bragato
Bragatto
Braggato
Braggion
Braido
Brancaglioni
Branch
Branco
Brandão
Brasil
Bravato
Bravim
Bravin
Breda
Bregesk
Bregolin
Bressan
Breves
Brezininiski
Breziniscki
Brezinski
Brianezi
Bride
Brino
Brioschi
Briosqui
Brisot
Brito
Brodeur
Broedel
Brogan
Brum
Brumana
Bruneli
Brunelli
Bruno
Bruschi
Brusco
Brush
Brusque
Bubach
Bueno
Buffo
Bullock
Buoro
Buque
Burgues
Burrows
Busato
Busetti
Buson
Butler
Buzatto
Buzon
Caballero
Cabral
Caetano
Calabrez
Calabreza
Calassara
Calatrone
Calazans
Caldana
Caldeira
Caldo
Calegari
Calegario
Caliari
Califfe
Calil
Calimam
Caliman
Calixto
Calliman
Calmon
Calotto
Calvi
Camara
Camargo
Camata
Camatta
Cambiage
Camilete
Camiletti
Camillete
Campagnaro
Camporês
Camporez
Campos
Canal
Canata
Canceglieri
Cancian
Candia
Candido
Cansi
Cansian
Cansio
Canzian
Capelini
Caprini
Capucho
Caputo
Carazas
Cardosa
Cardoso
Cardozo
Careta
Caretta
Caridade
Carlesso
Carminate
Carminati
Carmo
Carneiro
Carniele
Carnielle
Carnielli
Carrasco
Carrer
Carriço
Carvalhido
Carvalho
Casagrande
Casaro
Cassaro
Cassini
Castelione
Casteluber
Castro
Catabriga
Catellan
Cattai
Cattelan
Cavalcanti
Cavaleiro
Cavallina
Cavanelas
Cavatti
Caversani
Ceccon
Cecote
Cecotti
Cei
Celot
Ceolin
Ceotto
Cergueira
Cerqueira
Cervantes
Cescon
Cesconeto
Cesconetto
Cevolani
Chagas
Chapiniti
Chausse
Chaves
Cheibub
Chiaradia
Chiecan
Chiecon
Chies
Chiesurin
Christ
Christensdatter
Christensen
Christiandatter
Christiansdatter
Christiansen
Christophersen
Chtistensdatter
Cipriano
Cittera
Claudino
Cobo
Cocco
Coelho
Côgo
Coladeci
Colato
Coletta
Collaço
Colli
Colodeta
Colodete
Colodetti
Colombi
Comarela
Comerio
Conceicao
Conciani
Conde
Congo
Constâncio
Contarato
Contarini
Conte
Conterini
Conti
Conto
Coppo
Corcos
Corocher
Corradi
Corrêa
Correia
Correya
Corte
Cosme
Costa
Costalonga
Costariol
Coutinho
Couto
Covre
Cozumeco
Cravellar
Cremasco
Cressafe
Cricco
Crozatti
Cuman
Cunha
Cunshnir
Curcio
Curitiba
Custódio
Cypriano
Cyrillo
Dadalto
D'Agostini
D'Agostino
Dal
Dalcin
Dalla
Dall'armellina
Dall'ava
Dalt
Dalto
D'Altoè
Daltro
Dalvi
Dalvin
Dan
Dancy
Dansi
Dantas
Danzi
Dardengo
Dariva
Daroz
Darroz
Dassié
Davel
David
Delpupo
detto
Domingue
Duar
Duarte
Duque
Durfee
Dutra
Ebani
Eça
Eckhardt
Eigenheer
Eller
Emeli
Endringer
Entringer
Erbolato
Ervati
Esméria
Especemile
Espíndula
Espinola
Espinosa
Espírito
Esposito
Esteves
Evarti
Fabis
Fabre
Fabro
Faccini
Faccitin
Fachini
Faco
Facundes
Faé
Fagundes
Falchetto
Falqueto
Falquetto
Falsoni
Farace
Fardim
Fardin
Faria
Farias
Faroni
Fasoli
Fassarella
Favero
Favoreto
Fazoli
Fazollo
Fazôlo
Feitoza
Felete
Feletti
Ferlin
Fernandes
Fernandez
Ferraco
Ferrão
Ferrarese
Ferrari
Ferreira
Ferrighetto
Feu
Fidelis
Figueira
Figueiredo
Filete
Fileti
Filetti
Fillinger
Fior
Fioravante
Fioresi
Fiorez
Fiorim
Fiorini
Fiório
Fiorot
Fiorotto
Firese
Firme
Fisch
Fitipaldi
Fittipaldi
Flora
Florêncio
Flozillo
Foffi
Fonseca
Fontana
Fontes
Forafo
Formigoni
Fornazier
Frachin
Frade
Fraga
Fragali
Frais
Franceschet
Franceschetto
Franchetti
Franchin
Francisca
Francischeto
Francischetto
Francisco
Francisqueti
Francisqueto
Franco
Frandsen
Frattini
Frazão
Fregolent
Freire
Freitas
Freyre
Friao
Friezell
Friezelle
Friggi
Frizi
Frizzera
Frizzo
Frossar
Fruett
Fulaneti
Fumaneri
Fumanesi
Fundão
Furian
Furlan
Furtado
Fusinato
Fuzeti
Gabriel
Gaburro
Gaigher
Gaiguer
Gaiotto
Galavotti
Galina
Gallina
Gallo
Galvão
Gama
Garcia
Gardiman
Gargan
Gaspar
Gasparello
Gasparini
Gasparotto
Gaucci
Gava
Gavina
Gazola
Gentina
George
Geraldo
Ghivan
Giacomele
Giacomeli
Giacomelli
Giobini
Giovannetti
Giro
Girolamo
Giuduce
Giuriato
Giuriatto
Givelli
Gloria
Gobbato
Gobbi
Gobbo
Godoy
Góes
Goese
Gois
Gomes
Gonçalves
Gonçalvez
Gondim
Gonzalves
Gottardo
Gouvea
Graça
Grando
Grand-Pre
Granzottin
Granzotto
Grasseto
Grassetto
Grassi
Greco
Gregio
Gregolin
Griffo
Grillo
Grobério
Grolla
Guarnier
Guedes
Guerini
Guerino
Guerra
Guidini
Guidolini
Guilherme
Guimarães
Guisso
Guizzardi
Gularte
Guldbrandsdatter
Habib
Handler
Hansdatter
Hansen
Harper
Hayes
Heckert
Henrichsdatter
Henrichsdt
Henrichsen
Henrique
Henriques
Herculano
Herman
Herzog
Hoffman
Hoffmann
Holliday
Horacio
Hostey
Hypólito
Idalino
Ignácio
Iki
Intringer
Isgária
Ivie
Ivonete
Iwand
Jacinto
Jacoboski
Jacobsen
Jacome
Jacomelle
Jacomelli
Jambo
Jensdatter
Jensen
Jesus
Jeus
Joao
Joaquina
Joensdatter
Johannesdt
Johannesen
Johansdatter
Johansen
Jonsson
Jordão
Jorge
Jorgensen
Josefa
Julio
Justi
Justo
Juvanhol
Kardin
Kiefer
Kiepper
Kilpatrick
Kirmse
Kister
Klein
Knudsen
Kolberg
Kristensen
Kristiansen
Kuiger
Lacerda
Lachini
Ladeira
Lage
Lago
Lagoeiro
Laiberetor
Lamha
Landeira
Lanes
Langrin
Lans
Larsdatter
Larsen
Laura
Laurenco
Laures
Laus
Lay
Leal
Légora
Leitão
Leite
Leme
Lemos
Lems
Leonardes
Leonel
Leopoldo
Lepine
Lerner
Lessa
Libardi
Libera
Liberator
Liberatori
Liduino
Lima
Lingiardi
Lino
Lisboa
Lizabo
Longo
Lopes
Loredetto
Lorenção
Lorencini
Lorençon
Lorenzini
Lorenzon
Lorenzoni
Loreto
